Survey_ID,Lat,Long,Zip,City,County,Status,elevation,dist_to_spill,Q37_EDU,Q40_INCOME,Q1_Overall,Q2_a,Q2_b,Q2_c,Q2_d,Q2_e,Q2_f,Q2_g,Q2_h,Q2_i,Q2_j,Q2_k,Q3,Q4,Q10_a,Q10_b,Q10_c,Q10_d,Q10_e,Q11_a,Q11_b,Q11_c,Q11_d,Q11_e,Q11_f,Q11_g,Q11_h,Q11_i,Q11_j,Q11_k,Q12_a,Q12_b,Q12_c,Q12_d,Q12_e,Q13_a,Q13_b,Q13_c,Q13_d,Q13_e,Q13_f,Q13_g,Q14_a,Q14_b,Q14_c,Q14_d,Q14_e,Q14_f,Q14_g,Q14_h,Q14_i,Q15_a,Q15_b,Q15_c,Q16_a,Q16_b,Q16_c,Q16_d,Q16_e,Q16_f,Q16_g,Q16_h,Q16_i,Q16_j,Q16_k,Q16_l,Q16_m,Q16_n,Q16_o,Q16_p,Q17_a,Q17_b,Q17_c,Q17_d,Q17_e,Q17_f,Q17_g,Q17_h,Q17_i,Q17_j,Q17_k,Q19_a,Q19_b,Q19_c,Q19_d,Q19_e,Q19_f,Q19_g,Q19_h,Q19_i,Q20_a,Q20_b,Q20_c,Q20_d,Q20_e,Q21,Q22_a,Q22_b,Q22_c,Q22_d,Q22_e,Q22_f,Q23,Q24,Q25,Q26_a,Q26_b,Q26_c,Q26_d,Q26_e,Q26_f,Q26_g,Q26_h
2,37.39100646970,-81.04170227050,24701,Bluefield,Mercer,At_Risk,772,119354.1,3,3,2,2,3,1,3,2,2,4,2,4,4,3,4,4,2,2,2,4,4,3,3,3,4,4,3,3,2,4,3,4,3,3,4,3,2,3,3,2,2,4,4,4,4,4,4,4,4,4,3,4,3,1,1,1,4,5,3,2,2,4,3,4,2,3,3,3,4,4,2,3,3,3,2,2,3,2,2,3,,,0,2,2,2,2,2,3,3,3,2,3,2,4,3,3,1,4,4,4,3,3,4,1,1,1,0,0,0,0,0,0,0,0
3,37.26289400000,-81.20704300000,24701,Bluefield,Mercer,At_Risk,804,127670.3,4,1,3,5,3,1,4,4,1,4,3,3,4,3,3,3,2,1,1,4,5,3,5,5,1,1,4,5,5,2,3,3,2,5,5,2,1,3,4,2,4,3,3,5,3,4,4,4,4,5,4,3,3,3,3,3,5,4,0,1,1,5,3,5,5,5,5,3,3,0,2,5,0,2,1,1,5,2,5,3,3,1,5,2,1,1,2,3,2,3,2,2,3,3,3,3,3,2,5,3,4,3,1,1,4,4,4,4,5,4,5,5,4,5,4
4,37.29420471190,-81.18319702150,24701,Bluefield,Mercer,At_Risk,785,124943.2,5,3,3,4,2,2,4,4,2,4,3,3,3,4,3,3,1,5,4,4,5,3,3,2,2,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,4,3,4,4,3,4,3,4,3,2,2,0,4,3,3,3,3,4,3,2,3,3,3,2,3,3,3,3,1,1,1,1,1,1,1,3,,,0,1,1,1,3,2,1,1,1,1,3,3,4,2,3,2,3,3,3,3,3,2,4,4,3,3,4,4,3,3,3,4,3
5,37.29420471190,-81.18319702150,24701,Bluefield,Mercer,At_Risk,785,124943.2,5,4,3,2,3,3,2,2,3,4,3,1,3,5,4,3,3,1,3,4,3,2,2,3,3,4,3,2,3,4,4,4,3,4,2,2,3,5,4,3,3,2,3,1,3,4,4,2,2,4,1,4,2,2,2,2,4,4,3,2,4,2,3,4,3,4,3,4,4,2,4,3,4,4,4,3,2,3,1,3,,,0,4,3,3,4,4,4,4,3,4,3,4,2,5,3,1,3,4,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0
6,37.29420471190,-81.18319702150,24701,Bluefield,Mercer,At_Risk,785,124943.2,3,0,3,2,3,2,2,3,2,4,2,2,2,4,4,3,5,1,2,4,3,1,1,4,4,5,4,2,2,5,5,4,1,1,1,1,1,5,5,4,4,2,2,1,4,2,4,4,2,4,2,4,2,2,2,2,4,2,2,2,2,2,2,5,2,2,3,4,4,2,4,2,4,2,2,2,2,2,2,4,,,0,1,3,4,4,3,4,4,4,4,2,3,4,2,4,1,5,5,3,3,4,3,3,3,2,0,0,0,0,0,0,0,0
7,37.89410400390,-80.57740020750,24701,Bluefield,Mercer,At_Risk,687,104495.9,3,2,3,4,3,5,3,3,5,5,3,2,2,4,5,4,1,3,1,5,2,3,3,4,4,4,3,2,3,4,3,4,2,3,4,3,3,3,2,3,3,3,3,5,5,2,4,3,2,5,2,4,2,2,2,0,3,2,4,1,1,5,1,3,2,3,3,4,5,1,5,3,4,3,3,3,3,3,1,4,,,0,3,3,3,3,3,3,2,3,3,2,2,3,3,3,2,3,4,3,3,2,3,3,3,4,3,4,4,3,2,3,2,3
8,37.26180100000,-81.23346700000,24701,Bluefield,Mercer,At_Risk,825,127165.9,2,2,4,3,2,3,3,3,3,3,3,3,3,3,2,2,1,4,1,5,3,2,2,3,3,4,3,2,2,4,4,4,4,3,4,2,2,4,4,2,3,2,3,1,4,2,4,3,4,3,0,4,3,2,2,3,4,4,3,2,2,5,4,2,0,3,4,4,4,0,4,4,4,3,3,3,3,3,3,3,2,3,3,3,4,2,4,3,3,4,4,3,4,2,3,3,3,2,3,2,2,2,2,2,4,5,5,3,3,3,3,3,3,3,3
9,37.26181400000,-81.23349900000,24701,Bluefield,Mercer,At_Risk,825,127163.8,6,6,4,2,4,4,2,2,1,5,4,1,2,5,4,3,4,1,3,3,3,1,1,2,5,5,5,1,1,5,5,5,1,2,2,1,1,5,5,4,3,1,2,1,1,1,3,2,1,4,1,3,1,2,2,2,3,5,1,1,1,3,1,5,3,5,1,5,5,1,5,3,5,5,5,5,2,4,1,4,1,4,4,5,5,4,5,5,5,5,5,5,1,5,2,5,1,2,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1
10,37.26968000000,-81.22332000000,24701,Bluefield,Mercer,At_Risk,778,126556.7,4,2,4,3,4,4,2,2,2,4,4,2,2,4,2,2,1,5,1,3,3,3,3,4,4,4,3,2,3,4,4,4,4,4,3,1,1,4,4,3,3,2,3,2,4,2,4,3,2,4,3,4,2,2,2,1,2,1,5,1,1,3,1,3,4,4,4,3,4,2,5,4,2,3,3,3,1,3,2,4,,,0,3,4,3,4,3,3,4,4,4,2,4,2,4,3,1,4,4,3,4,3,3,2,2,1,0,0,0,0,0,0,0,0
11,37.29420471190,-81.18319702150,24701,Bluefield,Mercer,At_Risk,785,124943.2,6,3,4,2,4,4,2,2,3,3,5,1,1,3,3,2,2,2,1,5,3,4,5,3,3,4,2,3,4,4,1,2,1,1,3,1,1,1,5,5,5,2,1,5,1,1,4,1,1,4,1,2,1,2,2,2,3,3,3,1,4,5,1,4,1,3,3,2,5,2,5,3,3,1,4,5,1,1,1,4,,,0,1,4,4,3,4,2,4,3,3,3,5,3,4,2,2,5,5,4,4,2,2,2,1,2,2,2,2,3,2,1,1,1
